num_nodes,reward
0,"(tensor(-3870., device='cuda:0', grad_fn=<AddBackward0>), tensor(-3780., device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
1,"(tensor(-3810.9375, device='cuda:0', grad_fn=<AddBackward0>), tensor(-3720.9375, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
2,"(tensor(-3751.8750, device='cuda:0', grad_fn=<AddBackward0>), tensor(-3661.8750, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
3,"(tensor(-4939.6875, device='cuda:0', grad_fn=<AddBackward0>), tensor(-4849.6875, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
4,"(tensor(-6127.5000, device='cuda:0', grad_fn=<AddBackward0>), tensor(-6037.5000, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
5,"(tensor(-7315.3125, device='cuda:0', grad_fn=<AddBackward0>), tensor(-7225.3125, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
6,"(tensor(-8503.1250, device='cuda:0', grad_fn=<AddBackward0>), tensor(-8413.1250, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
7,"(tensor(-9690.9375, device='cuda:0', grad_fn=<AddBackward0>), tensor(-9600.9375, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
8,"(tensor(-10878.7500, device='cuda:0', grad_fn=<AddBackward0>), tensor(-10788.7500, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
9,"(tensor(-12066.5625, device='cuda:0', grad_fn=<AddBackward0>), tensor(-11976.5625, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
10,"(tensor(-3279.3750, device='cuda:0', grad_fn=<AddBackward0>), tensor(-3189.3750, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
11,"(tensor(-3220.3125, device='cuda:0', grad_fn=<AddBackward0>), tensor(-3130.3125, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
12,"(tensor(-4408.1250, device='cuda:0', grad_fn=<AddBackward0>), tensor(-4318.1250, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
13,"(tensor(-5595.9375, device='cuda:0', grad_fn=<AddBackward0>), tensor(-5505.9375, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
14,"(tensor(-6783.7500, device='cuda:0', grad_fn=<AddBackward0>), tensor(-6693.7500, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
15,"(tensor(-7971.5625, device='cuda:0', grad_fn=<AddBackward0>), tensor(-7881.5625, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
16,"(tensor(-9159.3750, device='cuda:0', grad_fn=<AddBackward0>), tensor(-9069.3750, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
17,"(tensor(-10347.1875, device='cuda:0', grad_fn=<AddBackward0>), tensor(-10257.1875, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
18,"(tensor(-11535., device='cuda:0', grad_fn=<AddBackward0>), tensor(-11445., device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
19,"(tensor(-12722.8125, device='cuda:0', grad_fn=<AddBackward0>), tensor(-12632.8125, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
20,"(tensor(-13910.6250, device='cuda:0', grad_fn=<AddBackward0>), tensor(-13820.6250, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
21,"(tensor(-2629.6875, device='cuda:0', grad_fn=<AddBackward0>), tensor(-2539.6875, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
22,"(tensor(-2570.6250, device='cuda:0', grad_fn=<AddBackward0>), tensor(-2480.6250, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
23,"(tensor(-3758.4375, device='cuda:0', grad_fn=<AddBackward0>), tensor(-3668.4375, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
24,"(tensor(-4946.2500, device='cuda:0', grad_fn=<AddBackward0>), tensor(-4856.2500, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
25,"(tensor(-6134.0625, device='cuda:0', grad_fn=<AddBackward0>), tensor(-6044.0625, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
26,"(tensor(-7321.8750, device='cuda:0', grad_fn=<AddBackward0>), tensor(-7231.8750, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
27,"(tensor(-8509.6875, device='cuda:0', grad_fn=<AddBackward0>), tensor(-8419.6875, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
28,"(tensor(-9697.5000, device='cuda:0', grad_fn=<AddBackward0>), tensor(-9607.5000, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
29,"(tensor(-10885.3125, device='cuda:0', grad_fn=<AddBackward0>), tensor(-10795.3125, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
30,"(tensor(-12073.1250, device='cuda:0', grad_fn=<AddBackward0>), tensor(-11983.1250, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
31,"(tensor(-13260.9375, device='cuda:0', grad_fn=<AddBackward0>), tensor(-13170.9375, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
32,"(tensor(-1980., device='cuda:0', grad_fn=<AddBackward0>), tensor(-1890., device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
33,"(tensor(-3167.8125, device='cuda:0', grad_fn=<AddBackward0>), tensor(-3077.8125, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
34,"(tensor(-4355.6250, device='cuda:0', grad_fn=<AddBackward0>), tensor(-4265.6250, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
35,"(tensor(-5543.4375, device='cuda:0', grad_fn=<AddBackward0>), tensor(-5453.4375, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
36,"(tensor(-6731.2500, device='cuda:0', grad_fn=<AddBackward0>), tensor(-6641.2500, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
37,"(tensor(-1684.6875, device='cuda:0', grad_fn=<AddBackward0>), tensor(-1594.6875, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
38,"(tensor(-1625.6250, device='cuda:0', grad_fn=<AddBackward0>), tensor(-1535.6250, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
39,"(tensor(-2813.4375, device='cuda:0', grad_fn=<AddBackward0>), tensor(-2723.4375, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
40,"(tensor(-4001.2500, device='cuda:0', grad_fn=<AddBackward0>), tensor(-3911.2500, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
41,"(tensor(-5189.0625, device='cuda:0', grad_fn=<AddBackward0>), tensor(-5099.0625, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
42,"(tensor(-6376.8750, device='cuda:0', grad_fn=<AddBackward0>), tensor(-6286.8750, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
43,"(tensor(-7564.6875, device='cuda:0', grad_fn=<AddBackward0>), tensor(-7474.6875, device='cuda:0', requires_grad=True), tensor(-90., device='cuda:0', requires_grad=True))"
