id,energy_consumption,energy_effective,energy_waste
0,871249.7253319585,861080.0000000013,10169.72533195717
1,1073369.8276935709,1043859.9999999988,29509.82769357193
2,1033356.7743863994,991040.0000000006,42316.77438639882
3,995679.552664502,969380.0000000008,26299.552664501192
4,979279.2875749152,948290.0000000001,30989.287574915063
5,877265.3882238996,864689.999999999,12575.388223900649
6,1045333.9190775944,997120.0000000009,48213.91907759347
7,952349.936228016,893380.0000000001,58969.93622801597
8,917011.3012641256,793427.5541230311,123583.74714109451
9,765970.6112797991,668989.9999999999,96980.6112797992
10,986202.8650974687,836244.1836073191,149958.6814901496
11,858633.7467763629,723520.000000001,135113.74677636183
12,263833.6997486865,133617.5331784952,130216.16657019132
13,935551.9953792386,807938.2374175282,127613.75796171043
14,229882.26058342803,113100.29981803491,116781.96076539313
15,904021.0853023182,739860.0000000006,164161.0853023176
16,245440.20496810268,122294.78717397123,123145.41779413146
17,216462.97035525052,106686.67549022821,109776.2948650223
18,225654.7131293376,117387.55716738282,108267.15596195476
19,377901.510082523,221747.06280839842,156154.44727412454
20,416279.91030193423,260367.9683280167,155911.9419739175
21,196107.5774163393,100654.68460670306,95452.89280963624
22,394053.5319442195,238317.68799290183,155735.84395131763
23,222385.1452615466,115202.92111159889,107182.22414994771
24,201113.35986207484,101401.38229972536,99711.97756234946
25,190948.605826299,98388.70887019136,92559.89695610765
26,214585.2189745874,101764.82756342652,112820.39141116086
27,214911.6544220724,108037.5312569814,106874.12316509099
28,399294.02155978675,243100.54067785668,156193.4808819301
29,239728.18104168738,135799.45940226698,103928.7216394204
30,186485.30929949315,72621.96718888072,113863.34211061242
31,197760.4682873687,96504.52620146419,101255.94208590452
