id,energy_consumption,energy_effective,energy_waste
0,238444276.0,182422886.0,56021390.0
1,228552083.0,173715003.0,54837080.0
2,228871729.0,174109319.0,54762410.0
3,228798424.0,173925624.0,54872800.0
4,228628646.0,176031436.0,52597210.0
5,228571269.0,175811229.0,52760040.0
6,229054720.0,175915730.0,53138990.0
7,229054720.0,175838210.0,53216510.0
8,228030803.0,172883843.0,55146960.0
9,225757624.0,172994974.0,52762650.0
10,226710046.0,173560746.0,53149300.0
11,226710046.0,173477146.0,53232900.0
12,226614116.0,173460636.0,53153480.0
13,226231120.0,173782350.0,52448770.0
14,226250306.0,173835356.0,52414950.0
15,226089940.0,173429890.0,52660050.0
16,225433815.0,172636345.0,52797470.0
17,225429290.0,172732140.0,52697150.0
18,229169474.0,176295434.0,52874040.0
19,229168026.0,176209246.0,52958780.0
20,229168026.0,176425846.0,52742180.0
21,229156804.0,176426024.0,52730780.0
22,229139790.0,176374430.0,52765360.0
23,229117708.0,176519738.0,52597970.0
24,229097798.0,176483108.0,52614690.0
25,229097255.0,176496435.0,52600820.0
26,229090558.0,176401578.0,52688980.0
27,229090558.0,176375928.0,52714630.0
28,229090558.0,176340588.0,52749970.0
29,229090377.0,176316467.0,52773910.0
30,229007841.0,176278201.0,52729640.0
31,229007841.0,176262241.0,52745600.0
32,227764552.0,171077492.0,56687060.0
33,225890840.0,167593520.0,58297320.0
34,224821311.0,165070631.0,59750680.0
35,224821311.0,164897541.0,59923770.0
36,219613579.0,154758109.0,64855470.0
37,218309655.0,154805705.0,63503950.0
38,218472193.0,155352943.0,63119250.0
39,218449749.0,155269889.0,63179860.0
40,217348002.0,152223722.0,65124280.0
41,215745790.0,151629080.0,64116710.0
42,217236325.0,152479795.0,64756530.0
43,216901837.0,152320057.0,64581780.0
44,216871067.0,151639297.0,65231770.0
45,213852892.0,149024492.0,64828400.0
46,215921179.0,149354509.0,66566670.0
47,213855969.0,147332239.0,66523730.0
48,214149913.0,148506263.0,65643650.0
49,212016285.0,146650365.0,65365920.0
50,210973182.0,146747312.0,64225870.0
51,210098047.0,146548247.0,63549800.0
52,210098047.0,146404227.0,63693820.0
53,209626542.0,146288972.0,63337570.0
54,209088248.0,146074628.0,63013620.0
55,208992680.0,146412260.0,62580420.0
56,208096730.0,146172380.0,61924350.0
57,208583439.0,147973939.0,60609500.0
58,208085146.0,145735576.0,62349570.0
59,208591946.0,147436196.0,61155750.0
60,208085146.0,145970606.0,62114540.0
61,208079173.0,145913903.0,62165270.0
62,208014375.0,145625855.0,62388520.0
63,207979080.0,146490970.0,61488110.0
64,197585155.0,123628845.0,73956310.0
65,194437022.0,123829322.0,70607700.0
66,195759951.0,129023891.0,66736060.0
67,195746738.0,128876158.0,66870580.0
68,191871347.0,124326787.0,67544560.0
69,191967096.0,126304776.0,65662320.0
70,189457893.0,122318553.0,67139340.0
71,190811230.0,124942610.0,65868620.0
72,187888080.0,121323060.0,66565020.0
73,187758484.0,120949124.0,66809360.0
74,189122500.0,122283930.0,66838570.0
75,188379314.0,120087054.0,68292260.0
76,190084334.0,124020114.0,66064220.0
77,189875641.0,124990611.0,64885030.0
78,189126120.0,123465080.0,65661040.0
79,187634499.0,121944339.0,65690160.0
80,185796444.0,120302124.0,65494320.0
81,182264953.0,118613923.0,63651030.0
82,179622172.0,115328322.0,64293850.0
83,179610950.0,115317860.0,64293090.0
84,179241710.0,115123230.0,64118480.0
85,179236642.0,115012522.0,64224120.0
86,179907790.0,115254080.0,64653710.0
87,177762397.0,112334767.0,65427630.0
88,175971583.0,109490303.0,66481280.0
89,175971583.0,109484223.0,66487360.0
90,175875110.0,109443610.0,66431500.0
91,175875110.0,109436200.0,66438910.0
92,177106272.0,111602262.0,65504010.0
93,177106272.0,111603402.0,65502870.0
94,177102109.0,111747249.0,65354860.0
95,177021745.0,111744025.0,65277720.0
96,175113643.0,107907803.0,67205840.0
97,174324483.0,107389633.0,66934850.0
98,173048976.0,106387536.0,66661440.0
99,172910692.0,106292002.0,66618690.0
100,170355153.0,100694603.0,69660550.0
101,163697973.0,92650983.0,71046990.0
102,163244568.0,92090228.0,71154340.0
103,161908064.0,90666654.0,71241410.0
104,160797267.0,88914607.0,71882660.0
105,157327497.0,86053457.0,71274040.0
106,156392813.0,81782743.0,74610070.0
107,154771958.0,79676248.0,75095710.0
108,146993121.0,65261231.0,81731890.0
109,142292008.0,64181428.0,78110580.0
110,142422509.0,66155119.0,76267390.0
111,137874884.0,60870624.0,77004260.0
112,130609182.0,55577122.0,75032060.0
113,129471597.0,55459977.0,74011620.0
114,131398523.0,56928193.0,74470330.0
115,131931387.0,58831057.0,73100330.0
116,129913418.0,57609188.0,72304230.0
117,126993345.0,56539385.0,70453960.0
118,124186397.0,52606777.0,71579620.0
119,122629435.0,52472015.0,70157420.0
120,119269170.0,50485020.0,68784150.0
121,116401225.0,50184405.0,66216820.0
122,116273077.0,49953087.0,66319990.0
123,114139811.0,49879471.0,64260340.0
124,109421503.0,45706323.0,63715180.0
125,106925513.0,45696723.0,61228790.0
126,105914447.0,45365147.0,60549300.0
127,96147687.0,40782547.0,55365140.0
