id,energy_consumption,energy_effective,energy_waste
0,228240939.0,150618939.0,77622000.0
1,223965719.0,150944529.0,73021190.0
2,227765814.0,153207714.0,74558100.0
3,226616283.0,153918903.0,72697380.0
4,226359806.0,155496926.0,70862880.0
5,225342767.0,155041957.0,70300810.0
6,224177127.0,153763747.0,70413380.0
7,223410049.0,152610729.0,70799320.0
8,222878633.0,154220803.0,68657830.0
9,221191713.0,151606963.0,69584750.0
10,221113702.0,152946262.0,68167440.0
11,221225922.0,151554682.0,69671240.0
12,220984287.0,152319477.0,68664810.0
13,222751028.0,156923588.0,65827440.0
14,220925824.0,155587204.0,65338620.0
15,221294159.0,154699119.0,66595040.0
16,221459231.0,153760431.0,67698800.0
17,221053610.0,154495760.0,66557850.0
18,221274068.0,152964748.0,68309320.0
19,222495818.0,156844698.0,65651120.0
20,221950103.0,154187653.0,67762450.0
21,222225947.0,153751377.0,68474570.0
22,221268276.0,151452396.0,69815880.0
23,220796952.0,152201772.0,68595180.0
24,221357328.0,155385198.0,65972130.0
25,219963990.0,154440730.0,65523260.0
26,221729826.0,154769836.0,66959990.0
27,217779501.0,147964611.0,69814890.0
28,218426395.0,151460985.0,66965410.0
29,217369898.0,151287608.0,66082290.0
30,218975368.0,150491718.0,68483650.0
31,218521963.0,152373223.0,66148740.0
32,217239035.0,150782115.0,66456920.0
33,216645355.0,148816915.0,67828440.0
34,218157248.0,154693118.0,63464130.0
35,219539364.0,153591364.0,65948000.0
36,214579421.0,146533341.0,68046080.0
37,214187013.0,141992703.0,72194310.0
38,210309631.0,134981551.0,75328080.0
39,213345001.0,138918091.0,74426910.0
40,210977159.0,139704439.0,71272720.0
41,211886141.0,140789551.0,71096590.0
42,209932970.0,135449670.0,74483300.0
43,211877453.0,138487793.0,73389660.0
44,212964720.0,140318440.0,72646280.0
45,212500093.0,137748843.0,74751250.0
46,210503482.0,136639582.0,73863900.0
47,210360673.0,135744753.0,74615920.0
48,209438297.0,136813387.0,72624910.0
49,211095895.0,136535025.0,74560870.0
50,211009739.0,140750429.0,70259310.0
51,210313794.0,137501784.0,72812010.0
52,211304588.0,137010578.0,74294010.0
53,213928364.0,142463744.0,71464620.0
54,213727273.0,142864053.0,70863220.0
55,211275628.0,141221428.0,70054200.0
56,211694100.0,139806160.0,71887940.0
57,213169069.0,141667019.0,71502050.0
58,211199970.0,137011790.0,74188180.0
59,207573092.0,132693882.0,74879210.0
60,208582891.0,136272631.0,72310260.0
61,210955258.0,139409558.0,71545700.0
62,208749592.0,136942402.0,71807190.0
63,207602957.0,133958037.0,73644920.0
64,201239540.0,127061760.0,74177780.0
65,208276277.0,132959827.0,75316450.0
66,206109707.0,129449527.0,76660180.0
67,205843637.0,130523197.0,75320440.0
68,203852456.0,128639126.0,75213330.0
69,201056368.0,127231938.0,73824430.0
70,204990765.0,133305455.0,71685310.0
71,201712674.0,128848604.0,72864070.0
72,200892744.0,131219344.0,69673400.0
73,203026372.0,133467352.0,69559020.0
74,203876529.0,131729709.0,72146820.0
75,204491205.0,133958775.0,70532430.0
76,199926566.0,128004466.0,71922100.0
77,199941408.0,126824968.0,73116440.0
78,199925299.0,123115869.0,76809430.0
79,200370197.0,127114627.0,73255570.0
80,194708698.0,117701718.0,77006980.0
81,196498607.0,121244287.0,75254320.0
82,189213538.0,114506458.0,74707080.0
83,191325627.0,118458367.0,72867260.0
84,190554748.0,118081168.0,72473580.0
85,196824407.0,124245667.0,72578740.0
86,191168700.0,121151210.0,70017490.0
87,190358182.0,119941452.0,70416730.0
88,190489769.0,117516019.0,72973750.0
89,193400068.0,118988298.0,74411770.0
90,189532822.0,118901962.0,70630860.0
91,191834780.0,116752410.0,75082370.0
92,190977745.0,117106815.0,73870930.0
93,190875299.0,118833119.0,72042180.0
94,190912585.0,120098375.0,70814210.0
95,192242573.0,120880833.0,71361740.0
96,187933144.0,112816524.0,75116620.0
97,188067627.0,113796457.0,74271170.0
98,186963889.0,114445809.0,72518080.0
99,187514672.0,114930802.0,72583870.0
100,180293858.0,106272868.0,74020990.0
101,175414279.0,101517079.0,73897200.0
102,176304980.0,99224850.0,77080130.0
103,175642158.0,98687998.0,76954160.0
104,173845552.0,98084162.0,75761390.0
105,171569658.0,97629518.0,73940140.0
106,169035115.0,94402375.0,74632740.0
107,170183017.0,95716577.0,74466440.0
108,167883050.0,96482400.0,71400650.0
109,167834904.0,98203584.0,69631320.0
110,167953821.0,96990791.0,70963030.0
111,169826628.0,97775228.0,72051400.0
112,165590323.0,90075083.0,75515240.0
113,164178704.0,91999154.0,72179550.0
114,161821541.0,86565701.0,75255840.0
115,168059525.0,94885565.0,73173960.0
116,166411339.0,93193909.0,73217430.0
117,166995607.0,92362867.0,74632740.0
118,157617816.0,84728856.0,72888960.0
119,165075378.0,89414268.0,75661110.0
120,158793954.0,85033744.0,73760210.0
121,163095781.0,89605421.0,73490360.0
122,162469521.0,89014171.0,73455350.0
123,163277867.0,88357137.0,74920730.0
124,162708984.0,85935374.0,76773610.0
125,162315128.0,84457948.0,77857180.0
126,156401134.0,84825074.0,71576060.0
127,156575980.0,84748120.0,71827860.0
