id,energy_consumption,energy_effective,energy_waste
0,237594481.0,178751361.0,58843120.0
1,232433809.0,175557229.0,56876580.0
2,234016654.0,176670774.0,57345880.0
3,233147854.0,176603824.0,56544030.0
4,233982807.0,179306957.0,54675850.0
5,233676917.0,179035837.0,54641080.0
6,232677073.0,178279243.0,54397830.0
7,232691734.0,178250394.0,54441340.0
8,232616257.0,178534587.0,54081670.0
9,232635443.0,178878673.0,53756770.0
10,232577161.0,178619181.0,53957980.0
11,232572274.0,178578384.0,53993890.0
12,232096606.0,178696846.0,53399760.0
13,233095183.0,179012373.0,54082810.0
14,232954003.0,178830153.0,54123850.0
15,232954003.0,178848393.0,54105610.0
16,232624040.0,177501550.0,55122490.0
17,231941308.0,177540248.0,54401060.0
18,230915581.0,177177241.0,53738340.0
19,230914133.0,177234693.0,53679440.0
20,230916124.0,177303184.0,53612940.0
21,230900196.0,177940476.0,52959720.0
22,230894947.0,177851627.0,53043320.0
23,230343802.0,178226872.0,52116930.0
24,230583808.0,179678888.0,50904920.0
25,230583808.0,179143468.0,51440340.0
26,230577111.0,179095351.0,51481760.0
27,230577111.0,178818141.0,51758970.0
28,230577111.0,178793061.0,51784050.0
29,230547789.0,178835179.0,51712610.0
30,230453488.0,178785528.0,51667960.0
31,230431406.0,178712526.0,51718880.0
32,228160218.0,171492968.0,56667250.0
33,222856375.0,164916965.0,57939410.0
34,222476818.0,164767688.0,57709130.0
35,222880267.0,164345397.0,58534870.0
36,218003765.0,158497275.0,59506490.0
37,217122838.0,158652848.0,58469990.0
38,216502370.0,155434410.0,61067960.0
39,217857155.0,156993305.0,60863850.0
40,218430925.0,156012205.0,62418720.0
41,218004489.0,153737019.0,64267470.0
42,219039990.0,155007650.0,64032340.0
43,219030216.0,154984576.0,64045640.0
44,218738625.0,154262395.0,64476230.0
45,216330239.0,152832509.0,63497730.0
46,217407008.0,152506078.0,64900930.0
47,217784936.0,152502196.0,65282740.0
48,217440674.0,154291254.0,63149420.0
49,217485562.0,153735742.0,63749820.0
50,217311259.0,153711919.0,63599340.0
51,213232243.0,150868333.0,62363910.0
52,213232605.0,150872115.0,62360490.0
53,212147510.0,150927160.0,61220350.0
54,212079454.0,150778164.0,61301290.0
55,212035471.0,150775031.0,61260440.0
56,211505141.0,150807481.0,60697660.0
57,212046512.0,152081352.0,59965160.0
58,212046512.0,151727762.0,60318750.0
59,212046512.0,151476582.0,60569930.0
60,212046512.0,151770892.0,60275620.0
61,212087599.0,151712799.0,60374800.0
62,212022801.0,151871631.0,60151170.0
63,211717092.0,151580172.0,60136920.0
64,192731821.0,115003341.0,77728480.0
65,190066596.0,118743596.0,71323000.0
66,190155286.0,121089776.0,69065510.0
67,188864394.0,120442034.0,68422360.0
68,185356252.0,116354242.0,69002010.0
69,187100730.0,117881600.0,69219130.0
70,187368067.0,116788967.0,70579100.0
71,187651513.0,116521263.0,71130250.0
72,185008370.0,113568990.0,71439380.0
73,184572522.0,113995552.0,70576970.0
74,185364216.0,113870066.0,71494150.0
75,185986494.0,114691704.0,71294790.0
76,187703279.0,118426389.0,69276890.0
77,182673470.0,112552070.0,70121400.0
78,185815992.0,115989332.0,69826660.0
79,184056491.0,115784701.0,68271790.0
80,182526136.0,113716596.0,68809540.0
81,180511787.0,113018667.0,67493120.0
82,179797018.0,113583928.0,66213090.0
83,179239176.0,112491186.0,66747990.0
84,178193539.0,112015789.0,66177750.0
85,178772196.0,111952006.0,66820190.0
86,177850906.0,110723676.0,67127230.0
87,177881857.0,110177357.0,67704500.0
88,177328721.0,108368841.0,68959880.0
89,177874436.0,110382926.0,67491510.0
90,177146092.0,109303602.0,67842490.0
91,177203107.0,109175747.0,68027360.0
92,176862827.0,108715437.0,68147390.0
93,175976289.0,106959789.0,69016500.0
94,175803796.0,106981286.0,68822510.0
95,175801443.0,106981403.0,68820040.0
96,174187466.0,106065106.0,68122360.0
97,173323915.0,103517535.0,69806380.0
98,170790096.0,102203566.0,68586530.0
99,172321356.0,103913046.0,68408310.0
100,168462617.0,98654527.0,69808090.0
101,164307581.0,93410501.0,70897080.0
102,163491271.0,92291521.0,71199750.0
103,162516405.0,90420945.0,72095460.0
104,158489517.0,86565767.0,71923750.0
105,155824292.0,85044012.0,70780280.0
106,155244368.0,82304068.0,72940300.0
107,153764512.0,80426732.0,73337780.0
108,143519550.0,60509860.0,83009690.0
109,139574836.0,59938556.0,79636280.0
110,138185842.0,61771202.0,76414640.0
111,137234144.0,60321324.0,76912820.0
112,127100678.0,55283138.0,71817540.0
113,125290135.0,54695295.0,70594840.0
114,128676826.0,57197916.0,71478910.0
115,129702191.0,58754761.0,70947430.0
116,128581982.0,57848492.0,70733490.0
117,123281759.0,55168559.0,68113200.0
118,121778735.0,51122145.0,70656590.0
119,120775995.0,51091875.0,69684120.0
120,117045585.0,47895125.0,69150460.0
121,114011301.0,47537611.0,66473690.0
122,113742697.0,49353597.0,64389100.0
123,111447255.0,47308195.0,64139060.0
124,107124251.0,45008691.0,62115560.0
125,104389522.0,44764962.0,59624560.0
126,101859685.0,44410295.0,57449390.0
127,94529547.0,42862867.0,51666680.0
