id,energy_consumption,energy_effective,energy_waste
0,239635329.0,166322519.0,73312810.0
1,237163412.0,172949142.0,64214270.0
2,236082480.0,173416190.0,62666290.0
3,235967183.0,173410143.0,62557040.0
4,235610975.0,174076375.0,61534600.0
5,235631790.0,175429850.0,60201940.0
6,234234108.0,173964908.0,60269200.0
7,234252208.0,173885348.0,60366860.0
8,233474813.0,171145253.0,62329560.0
9,233101591.0,171688921.0,61412670.0
10,232984665.0,171805505.0,61179160.0
11,232687101.0,171822201.0,60864900.0
12,232916971.0,173144621.0,59772350.0
13,232889821.0,173018291.0,59871530.0
14,233074441.0,174128451.0,58945990.0
15,233017064.0,173967144.0,59049920.0
16,234490947.0,175639437.0,58851510.0
17,234160984.0,174913464.0,59247520.0
18,234160984.0,175003334.0,59157650.0
19,234156821.0,175076691.0,59080130.0
20,234156821.0,173971081.0,60185740.0
21,234145780.0,173980560.0,60165220.0
22,234140531.0,173980061.0,60160470.0
23,233760793.0,174005023.0,59755770.0
24,233752829.0,175007669.0,58745160.0
25,233752829.0,173492609.0,60260220.0
26,233420332.0,173515552.0,59904780.0
27,233420332.0,173528092.0,59892240.0
28,233420332.0,173458932.0,59961400.0
29,233420332.0,173447722.0,59972610.0
30,232058850.0,171682820.0,60376030.0
31,232058850.0,171682820.0,60376030.0
32,232111159.0,168064419.0,64046740.0
33,230623520.0,168995520.0,61628000.0
34,230523427.0,167742887.0,62780540.0
35,230523427.0,167597727.0,62925700.0
36,223630766.0,154973366.0,68657400.0
37,224776858.0,157947548.0,66829310.0
38,225207276.0,156466376.0,68740900.0
39,224878761.0,156400201.0,68478560.0
40,222622415.0,151114105.0,71508310.0
41,222579156.0,149577926.0,73001230.0
42,223674025.0,150459665.0,73214360.0
43,223723800.0,151114020.0,72609780.0
44,224041998.0,151005338.0,73036660.0
45,223691220.0,151170930.0,72520290.0
46,223365420.0,150896000.0,72469420.0
47,223315645.0,150115295.0,73200350.0
48,221710899.0,144513229.0,77197670.0
49,221713614.0,143776084.0,77937530.0
50,221213511.0,143368461.0,77845050.0
51,221213511.0,143368651.0,77844860.0
52,221016764.0,144610444.0,76406320.0
53,221082286.0,145253186.0,75829100.0
54,221059299.0,144741329.0,76317970.0
55,221059299.0,144696299.0,76363000.0
56,220733499.0,144481789.0,76251710.0
57,220027056.0,144504566.0,75522490.0
58,220027056.0,143550576.0,76476480.0
59,220027056.0,143613656.0,76413400.0
60,220027056.0,143095526.0,76931530.0
61,220027056.0,143126116.0,76900940.0
62,219848409.0,143055389.0,76793020.0
63,219848409.0,143037339.0,76811070.0
64,214304741.0,128605601.0,85699140.0
65,209351676.0,125702546.0,83649130.0
66,209945899.0,125543709.0,84402190.0
67,209310227.0,125287367.0,84022860.0
68,208229295.0,121282285.0,86947010.0
69,208963793.0,121263623.0,87700170.0
70,208508940.0,123456370.0,85052570.0
71,208186579.0,123262779.0,84923800.0
72,205821271.0,118424901.0,87396370.0
73,206317935.0,118076445.0,88241490.0
74,207209722.0,117868562.0,89341160.0
75,207166825.0,117815025.0,89351800.0
76,203343200.0,116768960.0,86574240.0
77,203343200.0,117072960.0,86270240.0
78,202584448.0,116770828.0,85813620.0
79,202582457.0,116775677.0,85806780.0
80,199400477.0,112032507.0,87367970.0
81,195586445.0,109789395.0,85797050.0
82,194854300.0,110120350.0,84733950.0
83,194627507.0,109752577.0,84874930.0
84,194766334.0,110207754.0,84558580.0
85,194320350.0,109536380.0,84783970.0
86,194240710.0,108810880.0,85429830.0
87,194240710.0,108807270.0,85433440.0
88,193136610.0,109051310.0,84085300.0
89,193120682.0,109373962.0,83746720.0
90,192851716.0,109326156.0,83525560.0
91,192159934.0,107631504.0,84528430.0
92,192478313.0,108264193.0,84214120.0
93,192474331.0,108280921.0,84193410.0
94,192470168.0,108222228.0,84247940.0
95,192094412.0,108220152.0,83874260.0
96,188693060.0,101931890.0,86761170.0
97,185849912.0,99964452.0,85885460.0
98,184283900.0,98236610.0,86047290.0
99,184280642.0,98805062.0,85475580.0
100,180911870.0,91043760.0,89868110.0
101,176229943.0,87000993.0,89228950.0
102,175596624.0,88427134.0,87169490.0
103,174701579.0,87556599.0,87144980.0
104,176723530.0,90179860.0,86543670.0
105,176312479.0,93165019.0,83147460.0
106,174576327.0,91013997.0,83562330.0
107,174305732.0,91925822.0,82379910.0
108,165232564.0,77580904.0,87651660.0
109,162802096.0,77509996.0,85292100.0
110,159666995.0,68829645.0,90837350.0
111,159047613.0,68916063.0,90131550.0
112,155942377.0,67453717.0,88488660.0
113,154354464.0,65254764.0,89099700.0
114,153276428.0,64379788.0,88896640.0
115,150994561.0,63235121.0,87759440.0
116,150453371.0,63447901.0,87005470.0
117,148203903.0,63265493.0,84938410.0
118,145273513.0,61084223.0,84189290.0
119,142778609.0,57804479.0,84974130.0
120,141728990.0,55998510.0,85730480.0
121,140832135.0,56111505.0,84720630.0
122,140423980.0,56018750.0,84405230.0
123,139916637.0,55884757.0,84031880.0
124,138284017.0,56551477.0,81732540.0
125,136815383.0,56230303.0,80585080.0
126,131607832.0,55938002.0,75669830.0
127,126200457.0,53845657.0,72354800.0
