id,energy_consumption,energy_effective,energy_waste
0,213199464.0,149489684.0,63709780.0
1,214605834.0,156055804.0,58550030.0
2,214902312.0,157594082.0,57308230.0
3,217306354.0,161236304.0,56070050.0
4,214278767.0,158948007.0,55330760.0
5,215198609.0,162580199.0,52618410.0
6,213351323.0,157759693.0,55591630.0
7,212883619.0,157240449.0,55643170.0
8,210767910.0,153775640.0,56992270.0
9,211624402.0,153862682.0,57761720.0
10,213699567.0,156789197.0,56910370.0
11,210847550.0,153237930.0,57609620.0
12,207408369.0,148926879.0,58481490.0
13,210448445.0,153266655.0,57181790.0
14,210581842.0,154156252.0,56425590.0
15,210344913.0,153441803.0,56903110.0
16,209123887.0,153676517.0,55447370.0
17,209442990.0,151504240.0,57938750.0
18,207408007.0,150350237.0,57057770.0
19,206680025.0,150190785.0,56489240.0
20,206215036.0,151602146.0,54612890.0
21,204091544.0,150544554.0,53546990.0
22,203906743.0,149987353.0,53919390.0
23,203007716.0,149273716.0,53734000.0
24,206306803.0,150182653.0,56124150.0
25,206312776.0,150326756.0,55986020.0
26,207722585.0,152566015.0,55156570.0
27,204372094.0,147594864.0,56777230.0
28,207796795.0,154143275.0,53653520.0
29,209521001.0,159100721.0,50420280.0
30,208672292.0,157413392.0,51258900.0
31,204849934.0,149420904.0,55429030.0
32,209601003.0,162061213.0,47539790.0
33,208157347.0,157380287.0,50777060.0
34,207471357.0,154929287.0,52542070.0
35,207379409.0,155958199.0,51421210.0
36,205735205.0,154661695.0,51073510.0
37,203935703.0,153224523.0,50711180.0
38,203493520.0,150878440.0,52615080.0
39,201799541.0,147835691.0,53963850.0
40,201556096.0,147400486.0,54155610.0
41,199263912.0,146323922.0,52939990.0
42,197263138.0,143922908.0,53340230.0
43,200246742.0,147672172.0,52574570.0
44,195636129.0,140965279.0,54670850.0
45,198676386.0,141629536.0,57046850.0
46,198626068.0,140310728.0,58315340.0
47,199205992.0,142430752.0,56775240.0
48,195230146.0,139583166.0,55646980.0
49,199504823.0,145394623.0,54110200.0
50,200120404.0,145716274.0,54404130.0
51,197286487.0,145366137.0,51920350.0
52,197092817.0,142703417.0,54389400.0
53,197969943.0,143165483.0,54804460.0
54,199022096.0,145883846.0,53138250.0
55,197360335.0,141032735.0,56327600.0
56,195083355.0,138985515.0,56097840.0
57,194958465.0,138010845.0,56947620.0
58,195137655.0,135827615.0,59310040.0
59,197189833.0,139317333.0,57872500.0
60,195848623.0,138016213.0,57832410.0
61,197551833.0,138276663.0,59275170.0
62,193943055.0,136550875.0,57392180.0
63,195263269.0,140338439.0,54924830.0
64,190683426.0,124666506.0,66016920.0
65,187259268.0,123299578.0,63959690.0
66,186474633.0,124216823.0,62257810.0
67,190614646.0,126802916.0,63811730.0
68,189133523.0,124991003.0,64142520.0
69,190137892.0,127641632.0,62496260.0
70,187987069.0,127347029.0,60640040.0
71,183707867.0,122356137.0,61351730.0
72,193140682.0,135047792.0,58092890.0
73,193836265.0,134497255.0,59339010.0
74,188149969.0,125916959.0,62233010.0
75,188879218.0,127532558.0,61346660.0
76,188241374.0,124896804.0,63344570.0
77,186348657.0,126202367.0,60146290.0
78,188115760.0,128110590.0,60005170.0
79,186132000.0,126164260.0,59967740.0
80,183027850.0,122238310.0,60789540.0
81,179203320.0,115026590.0,64176730.0
82,178527647.0,114737047.0,63790600.0
83,181330251.0,116024401.0,65305850.0
84,184552413.0,121203193.0,63349220.0
85,181499124.0,117158104.0,64341020.0
86,178699778.0,115669098.0,63030680.0
87,184920024.0,123814384.0,61105640.0
88,182112533.0,119011223.0,63101310.0
89,181658042.0,119696022.0,61962020.0
90,182146561.0,117826311.0,64320250.0
91,180704896.0,114338956.0,66365940.0
92,179613828.0,112617558.0,66996270.0
93,175092448.0,105668018.0,69424430.0
94,177004532.0,110213602.0,66790930.0
95,181081738.0,116480188.0,64601550.0
96,169981732.0,104004672.0,65977060.0
97,176616830.0,114176150.0,62440680.0
98,170381380.0,104205480.0,66175900.0
99,167138584.0,100021334.0,67117250.0
100,169741183.0,106476763.0,63264420.0
101,165419989.0,101119489.0,64300500.0
102,165196816.0,101743766.0,63453050.0
103,161530661.0,97509641.0,64021020.0
104,164303219.0,102984019.0,61319200.0
105,163008707.0,102487787.0,60520920.0
106,161403418.0,97891748.0,63511670.0
107,154030745.0,93125695.0,60905050.0
108,161695914.0,98854384.0,62841530.0
109,158002609.0,94206039.0,63796570.0
110,153249730.0,91530910.0,61718820.0
111,157036612.0,94546112.0,62490500.0
112,147797829.0,84609299.0,63188530.0
113,151501813.0,90140763.0,61361050.0
114,156880047.0,92233127.0,64646920.0
115,152361020.0,89288110.0,63072910.0
116,157627215.0,94794705.0,62832510.0
117,151686976.0,88550796.0,63136180.0
118,154874024.0,93190684.0,61683340.0
119,148514589.0,82897769.0,65616820.0
120,146979166.0,84156486.0,62822680.0
121,146513634.0,85046464.0,61467170.0
122,155927806.0,95414916.0,60512890.0
123,146700245.0,84048655.0,62651590.0
124,146326661.0,84163281.0,62163380.0
125,154759632.0,94382362.0,60377270.0
126,141639304.0,81072924.0,60566380.0
127,141676228.0,78383208.0,63293020.0
