dvfs_mode,state,submission_time,start_time,finish_time,nodes,job_id,terminated
base,active,,0.0,10.0,31,-1.0,
base,active,,0.0,23.0,30,-1.0,
base,switching_off,,0.0,300.0,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29,-2.0,
base,active,10.0,10.0,92.17633508101079,31,1.0,False
base,active,23.0,23.0,128.11170518530804,30,2.0,False
base,active,40.0,92.17633508101079,260.35116036307943,31,3.0,False
base,active,69.0,128.11170518530804,250.5896920968844,30,4.0,False
base,active,72.0,250.5896920968844,442.5328059135339,30,5.0,False
base,active,89.0,260.35116036307943,448.5923000253948,31,6.0,False
base,sleeping,,300.0,500.0,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,-4.0,
base,sleeping,,300.0,5291.692246182383,26 27 28 29,-4.0,
base,active,123.0,442.5328059135339,529.3642145448753,30,7.0,False
base,active,132.0,448.5923000253948,556.568182166723,31,8.0,False
base,switching_on,,500.0,800.0,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,-3.0,
base,active,136.0,529.3642145448753,618.9376676593117,30,9.0,False
base,active,144.0,556.568182166723,719.0097747687211,31,10.0,False
base,active,148.0,618.9376676593117,728.6194469831114,30,11.0,False
base,active,166.0,719.0097747687211,894.8289102908836,31,12.0,False
base,active,173.0,728.6194469831114,862.979626654766,30,13.0,False
base,active,277.0,800.0,891.0571497716393,4,20.0,False
base,active,363.0,800.0,905.1374196952396,8,30.0,False
base,active,368.0,800.0,906.9627984997056,25,31.0,False
base,active,372.0,800.0,910.4334397269376,13,32.0,False
base,active,321.0,800.0,918.2413312193592,11,24.0,False
base,active,457.0,800.0,920.6166828058341,15,39.0,False
base,active,302.0,800.0,922.1193624637092,6,22.0,False
base,active,195.0,800.0,923.1429331273457,17,15.0,False
base,active,282.0,800.0,924.1140355928397,23,21.0,False
base,active,325.0,800.0,934.4046722985433,7,25.0,False
base,active,345.0,800.0,935.1847672009776,12,28.0,False
base,active,431.0,800.0,942.1847058225501,18,38.0,False
base,active,225.0,800.0,945.5323002886068,24,17.0,False
base,active,397.0,800.0,951.8808040044271,10,35.0,False
base,active,398.0,800.0,957.1796674480837,16,36.0,False
base,active,312.0,800.0,961.2273845062866,21,23.0,False
base,active,328.0,800.0,965.2359841126568,1,26.0,False
base,active,391.0,800.0,972.8766505041353,3,34.0,False
base,active,198.0,800.0,974.1242258824346,9,16.0,False
base,active,377.0,800.0,975.5485962543854,0,33.0,False
base,active,361.0,800.0,977.2612090790233,14,29.0,False
